"","ID","BIOCHEMICAL","CHEMICAL.ID","COMP.ID","PLATFORM","RI","MASS","CAS","KEGG","HMDB","PUBCHEM","CHEMSPIDER","PATHWAY.SORTORDER","SUPER.PATHWAY","SUB.PATHWAY"
"M.57461","M.57461","argininate*",100002769,57461,"LC/MS Pos Early",2150,176.103,"157-07-3",NA,"HMDB03148","160437",140984,157,"Amino Acid","Urea cycle; Arginine and Proline Metabolism"
"M.485","M.485","spermidine",50,485,"LC/MS Pos Early",3355,146.1652,"124-20-9","C00315","HMDB01257","1102",1071,162,"Amino Acid","Polyamine Metabolism"
"M.32446","M.32446","guanidinosuccinate",100001212,32446,"LC/MS Polar",3550,174.052,"6133-30-8","C03139","HMDB03157","97856",88329,167,"Amino Acid","Guanidino and Acetamido Metabolism"
"M.35637","M.35637","cysteinylglycine",278,35637,"LC/MS Pos Early",2132,179.0485,"19246-18-5","C01419","HMDB00078","439498",58762,168,"Amino Acid","Glutathione Metabolism"
"M.57753","M.57753","cysteinylglycine disulfide*",NA,57753,"LC/MS Pos Early",2552,298.0522,NA,NA,NA,NA,NA,169,"Amino Acid","Glutathione Metabolism"
"M.52281","M.52281","2-hydroxybutyrate/2-hydroxyisobutyrate",100008928,52281,"LC/MS Polar",1258,103.0401,NA,NA,NA,NA,NA,173,"Amino Acid","Glutathione Metabolism"
"M.18245","M.18245","gamma-glutamylhistidine",1235,18245,"LC/MS Pos Early",2740,285.1194,"37460-15-4",NA,NA,"7017195",5380197,178,"Peptide","Gamma-glutamyl Amino Acid"
"M.55015","M.55015","gamma-glutamyl-alpha-lysine",100010901,55015,"LC/MS Pos Early",2784,276.1554,NA,NA,NA,"65254",58747,181,"Peptide","Gamma-glutamyl Amino Acid"
"M.33364","M.33364","gamma-glutamylthreonine",100001314,33364,"LC/MS Pos Early",1750,249.1081,"5652-48-2",NA,"HMDB29159","76078708",21403107,185,"Peptide","Gamma-glutamyl Amino Acid"
"M.52766","M.52766","gamma-glutamylcitrulline*",NA,52766,"LC/MS Pos Early",1678,305.1447,NA,NA,NA,NA,NA,189,"Peptide","Gamma-glutamyl Amino Acid"
"M.37092","M.37092","gamma-glutamyl-2-aminobutyrate",100001502,37092,"LC/MS Pos Early",2380,233.1132,"16869-42-4",NA,NA,NA,21403151,190,"Peptide","Gamma-glutamyl Amino Acid"
"M.42079","M.42079","valylglutamine",100003640,42079,"LC/MS Pos Early",2295,246.1448,"42854-54-6",NA,"HMDB29125","5253209",4419671,203,"Peptide","Dipeptide"
"M.48189","M.48189","leucylglutamine*",100003183,48189,"LC/MS Pos Early",2620,260.1605,NA,NA,"HMDB28927","4305457",3511125,206,"Peptide","Dipeptide"
"M.49568","M.49568","HXGXA*",NA,49568,"LC/MS Pos Late",733,510.3039,NA,NA,NA,NA,NA,208,"Peptide","Polypeptide"
"M.57711","M.57711","HWESASXX*",100001327,57711,"LC/MS Neg",3722,940.4534,NA,NA,NA,NA,21403115,209,"Peptide","Polypeptide"
"M.57712","M.57712","Fibrinopeptide A, phosphono-ser(3)*",100001324,57712,"LC/MS Neg",2016,806.8185,"886023-52-5",NA,NA,NA,21403112,211,"Peptide","Fibrinogen Cleavage Peptide"
"M.46697","M.46697","Fibrinopeptide A (5-16)*",NA,46697,"LC/MS Neg",2892,601.7773,NA,NA,NA,NA,NA,212,"Peptide","Fibrinogen Cleavage Peptide"
"M.52925","M.52925","phenylacetylglutamate",100009045,52925,"LC/MS Pos Early",2390,266.1023,NA,NA,"HMDB59772","11579826",9754592,213,"Peptide","Acetylated Peptides"
"M.47211","M.47211","pyroglutamylalanine*",NA,47211,"LC/MS Neg",1007,199.0727,NA,NA,NA,NA,NA,215,"Peptide","Modified Peptides"
"M.46463","M.46463","pyroglutamylphenylalanine*",NA,46463,"LC/MS Neg",2590,275.1039,NA,NA,NA,NA,NA,218,"Peptide","Modified Peptides"
"M.47212","M.47212","pyroglutamylthreonine*",NA,47212,"LC/MS Neg",1021,229.0832,NA,NA,NA,NA,NA,219,"Peptide","Modified Peptides"
"M.42584","M.42584","pyruvate",823,42584,"LC/MS Neg",624,175.0248,"127-17-3","C00022","HMDB00243","1060",96901,222,"Carbohydrate","Glycolysis, Gluconeogenesis, and Pyruvate Metabolism"
"M.1471","M.1471","ribose",914,1471,"LC/MS Polar",1508.2,195.051,"50-69-1","C00121","HMDB00283","5779",4470639,225,"Carbohydrate","Pentose Metabolism"
"M.27731","M.27731","ribonate",100001007,27731,"LC/MS Polar",2425,165.0405,"1255190","C01685","HMDB00867","5460677",4574162,227,"Carbohydrate","Pentose Metabolism"
"M.15581","M.15581","xylose",826,15581,"LC/MS Polar",1727,195.051,"609-06-3","C00181","HMDB00098","135191",85957,228,"Carbohydrate","Pentose Metabolism"
"M.48885","M.48885","arabitol/xylitol",100006430,48885,"LC/MS Polar",1932.4,151.0612,NA,"C01904",NA,"6912",NA,230,"Carbohydrate","Pentose Metabolism"
"M.48255","M.48255","arabonate/xylonate",100006115,48255,"LC/MS Polar",2700,165.0405,NA,NA,NA,NA,NA,231,"Carbohydrate","Pentose Metabolism"
"M.15586","M.15586","maltose",913,15586,"LC/MS Polar",3329.4,387.1144,"6363-53-7","C00208","HMDB00163","10991489",388469,232,"Carbohydrate","Glycogen Metabolism"
"M.46142","M.46142","mannitol/sorbitol",100001740,46142,"LC/MS Polar",2320,181.0718,NA,"C00794","HMDB00247","5780",440,235,"Carbohydrate","Fructose, Mannose and Galactose Metabolism"
"M.1117","M.1117","galactitol (dulcitol)",1003,1117,"LC/MS Polar",2360,181.0718,"608-66-2","C01697","HMDB00107","11850",11357,237,"Carbohydrate","Fructose, Mannose and Galactose Metabolism"
"M.27719","M.27719","galactonate",100001026,27719,"LC/MS Polar",3085,195.051,"299-28-5","C00880","HMDB00565","128869",114198,238,"Carbohydrate","Fructose, Mannose and Galactose Metabolism"
"M.32377","M.32377","N-acetylneuraminate",1162,32377,"LC/MS Pos Early",660,310.1133,"131-48-6","C00270","HMDB00230","439197",10292217,240,"Carbohydrate","Aminosugar Metabolism"
"M.42420","M.42420","erythronate*",100001320,42420,"LC/MS Polar",2186,135.0299,"88759-55-1",NA,"HMDB00613","2781043",2061231,241,"Carbohydrate","Aminosugar Metabolism"
"M.46539","M.46539","N-acetylglucosamine/N-acetylgalactosamine",100006435,46539,"LC/MS Pos Early",715,222.0972,NA,NA,"HMDB00215","24139",NA,242,"Carbohydrate","Aminosugar Metabolism"
"M.46173","M.46173","aconitate [cis or trans]",100001359,46173,"LC/MS Neg",580,173.0092,NA,NA,NA,NA,NA,244,"Energy","TCA Cycle"
"M.528","M.528","alpha-ketoglutarate",93,528,"LC/MS Polar",2700,145.0143,"305-72-6;328-50-7;22202-68-2","C00026","HMDB00208","51",50,245,"Energy","TCA Cycle"
"M.47076","M.47076","citraconate/glutaconate",100006438,47076,"LC/MS Polar",2600,129.0194,NA,NA,NA,NA,NA,249,"Energy","TCA Cycle"
"M.52282","M.52282","2-methylcitrate/homocitrate",100008929,52282,"LC/MS Neg",575,205.0354,NA,NA,NA,NA,NA,250,"Energy","TCA Cycle"
"M.42109","M.42109","phosphate",461,42109,"LC/MS Pos Early",576,98.9842,"7664-38-2","C00009","HMDB01429","1061",1032,251,"Energy","Oxidative Phosphorylation"
"M.15872","M.15872","malonate",818,15872,"LC/MS Polar",3447,103.0037,"141-82-2;26522-22-85-0","C00383","HMDB00691","867",844,252,"Lipid","Fatty Acid Synthesis"
"M.52285","M.52285","oleate/vaccenate (18:1)",100008930,52285,"LC/MS Neg",5655,281.2486,NA,NA,NA,NA,NA,266,"Lipid","Long Chain Fatty Acid"
"M.12125","M.12125","behenate (22:0)*",314,12125,"LC/MS Neg",6745,339.3269,"112-85-6","C08281","HMDB00944","8215",7923,271,"Lipid","Long Chain Fatty Acid"
"M.52674","M.52674","nervonate (24:1n9)*",100001231,52674,"LC/MS Neg",6804,365.3425,"506-37-6","C08323","HMDB02368","5281120",4444565,273,"Lipid","Long Chain Fatty Acid"
"M.57658","M.57658","heneicosapentaenoate (21:5n3)",100015797,57658,"LC/MS Neg",5514,315.233,"24257-10-1",NA,NA,"11998573",10171040,274,"Lipid","Polyunsaturated Fatty Acid (n3 and n6)"
"M.57652","M.57652","hexadecadienoate (16:2n6)",100009394,57652,"LC/MS Neg",5398,251.2017,"28290-73-5",NA,"HMDB00477",NA,13628094,275,"Lipid","Polyunsaturated Fatty Acid (n3 and n6)"
"M.52294","M.52294","2-hydroxyglutarate",100002070,52294,"LC/MS Pos Early",958,166.071,"40951-21-1","C02630","HMDB00606","43",42,291,"Lipid","Fatty Acid, Dicarboxylate"
"M.21134","M.21134","adipate (C6-DC)",100000863,21134,"LC/MS Polar",3000,145.0506,"124-04-9","C06104","HMDB00448","196",191,292,"Lipid","Fatty Acid, Dicarboxylate"
"M.31934","M.31934","2-hydroxyadipate",100001153,31934,"LC/MS Polar",3000,161.0455,"18294-85-4","C02360","HMDB00321","193530",167943,293,"Lipid","Fatty Acid, Dicarboxylate"
"M.36749","M.36749","3-methyladipate",100001765,36749,"LC/MS Polar",2865,159.0663,"422955",NA,"HMDB00555","12292",11789,294,"Lipid","Fatty Acid, Dicarboxylate"
"M.20676","M.20676","maleate",100000707,20676,"LC/MS Polar",2640,115.0037,"110-16-7","C01384","HMDB00176","444266",392248,295,"Lipid","Fatty Acid, Dicarboxylate"
"M.15704","M.15704","pimelate (C7-DC)",100000101,15704,"LC/MS Polar",2745,159.0663,"111-16-0","C02656","HMDB00857","385",376,296,"Lipid","Fatty Acid, Dicarboxylate"
"M.39831","M.39831","eicosanodioate (C20-DC)",100002951,39831,"LC/MS Neg",5200.9,341.2697,"2424-92-2",NA,NA,"75502",68030,308,"Lipid","Fatty Acid, Dicarboxylate"
"M.39837","M.39837","docosadioate (C22-DC)",100002952,39837,"LC/MS Neg",5291.8,369.301,"505-56-6","C19625",NA,"244872",214170,309,"Lipid","Fatty Acid, Dicarboxylate"
"M.31850","M.31850","butyrylglycine",100001151,31850,"LC/MS Neg",1470,144.0666,"20208-73-5",NA,"HMDB00808","88412",79766,317,"Lipid","Fatty Acid Metabolism (also BCAA Metabolism)"
"M.1496","M.1496","methylmalonate (MMA)",418,1496,"LC/MS Polar",3078.4,117.0193,"516-05-2","C02170","HMDB00202","487",473,320,"Lipid","Fatty Acid Metabolism (also BCAA Metabolism)"
"M.54907","M.54907","hexanoylglutamine",100001733,54907,"LC/MS Neg",2780,243.135,NA,NA,NA,NA,NA,321,"Lipid","Fatty Acid Metabolism (Acyl Glutamine)"
"M.35436","M.35436","hexanoylglycine",100001527,35436,"LC/MS Neg",2900,172.0979,"24003-67-6",NA,"HMDB00701","99463",89859,322,"Lipid","Fatty Acid Metabolism (Acyl Glycine)"
"M.46995","M.46995","trans-2-hexenoylglycine",NA,46995,"LC/MS Neg",2710,170.0829,NA,NA,NA,NA,NA,323,"Lipid","Fatty Acid Metabolism (Acyl Glycine)"
"M.52984","M.52984","3-hydroxybutyrylcarnitine (2)",100009271,52984,"LC/MS Pos Early",2340,248.1493,NA,NA,"HMDB13127",NA,NA,327,"Lipid","Fatty Acid Metabolism (Acyl Carnitine)"
"M.34534","M.34534","laurylcarnitine (C12)",100001392,34534,"LC/MS Pos Late",1235,344.2795,"25518-54-1",NA,"HMDB02250","10427569",8602997,333,"Lipid","Fatty Acid Metabolism (Acyl Carnitine)"
"M.53223","M.53223","palmitoleoylcarnitine (C16:1)*",100009406,53223,"LC/MS Pos Late",1357,398.3265,NA,NA,NA,"71464547",28639183,336,"Lipid","Fatty Acid Metabolism (Acyl Carnitine)"
"M.57511","M.57511","linolenoylcarnitine (C18:3)*",100015831,57511,"LC/MS Pos Late",1310,422.3265,NA,NA,NA,NA,NA,339,"Lipid","Fatty Acid Metabolism (Acyl Carnitine)"
"M.48182","M.48182","myristoleoylcarnitine (C14:1)*",100006051,48182,"LC/MS Pos Late",1316,370.2947,"889848-55-9",NA,NA,"90659872",34999520,341,"Lipid","Fatty Acid Metabolism (Acyl Carnitine)"
"M.49654","M.49654","octadecenedioylcarnitine (C18:1-DC)*",NA,49654,"LC/MS Pos Late",1179,456.3315,NA,NA,NA,NA,NA,342,"Lipid","Fatty Acid Metabolism (Acyl Carnitine)"
"M.57513","M.57513","arachidoylcarnitine (C20)*",100015833,57513,"LC/MS Pos Late",1512,456.4047,NA,NA,"HMDB06460",NA,28639199,343,"Lipid","Fatty Acid Metabolism (Acyl Carnitine)"
"M.57518","M.57518","arachidonoylcarnitine (C20:4)",100015837,57518,"LC/MS Pos Late",1353,448.3422,NA,NA,NA,NA,NA,344,"Lipid","Fatty Acid Metabolism (Acyl Carnitine)"
"M.57528","M.57528","adrenoylcarnitine (C22:4)*",100015850,57528,"LC/MS Pos Late",1415,476.3734,NA,NA,NA,NA,NA,345,"Lipid","Fatty Acid Metabolism (Acyl Carnitine)"
"M.57514","M.57514","behenoylcarnitine (C22)*",100015832,57514,"LC/MS Pos Late",1561,484.436,NA,NA,NA,NA,28639204,346,"Lipid","Fatty Acid Metabolism (Acyl Carnitine)"
"M.57521","M.57521","dihomo-linolenoylcarnitine (C20:3n3 or 6)*",100015840,57521,"LC/MS Pos Late",1392,450.3578,NA,NA,NA,NA,NA,347,"Lipid","Fatty Acid Metabolism (Acyl Carnitine)"
"M.57520","M.57520","dihomo-linoleoylcarnitine (C20:2)*",100015839,57520,"LC/MS Pos Late",1436,452.3734,NA,NA,NA,NA,NA,348,"Lipid","Fatty Acid Metabolism (Acyl Carnitine)"
"M.57519","M.57519","eicosenoylcarnitine (C20:1)*",100015838,57519,"LC/MS Pos Late",1484,454.3891,NA,NA,NA,NA,NA,349,"Lipid","Fatty Acid Metabolism (Acyl Carnitine)"
"M.57529","M.57529","docosapentaenoylcarnitine (C22:5n3)*",100015851,57529,"LC/MS Pos Late",1387,474.3578,NA,NA,NA,NA,NA,350,"Lipid","Fatty Acid Metabolism (Acyl Carnitine)"
"M.57523","M.57523","docosahexaenoylcarnitine (C22:6)*",100015845,57523,"LC/MS Pos Late",1349,472.3422,NA,NA,NA,NA,NA,351,"Lipid","Fatty Acid Metabolism (Acyl Carnitine)"
"M.57515","M.57515","lignoceroylcarnitine (C24)*",100015834,57515,"LC/MS Pos Late",1603,512.4673,NA,NA,NA,NA,NA,352,"Lipid","Fatty Acid Metabolism (Acyl Carnitine)"
"M.57512","M.57512","margaroylcarnitine (C17)*",100004054,57512,"LC/MS Pos Late",1424,414.3578,"106182-29-0",NA,"HMDB06210",NA,35015987,353,"Lipid","Fatty Acid Metabolism (Acyl Carnitine)"
"M.57531","M.57531","nervonoylcarnitine (C24:1)*",100015846,57531,"LC/MS Pos Late",1602,510.4517,NA,NA,NA,NA,NA,354,"Lipid","Fatty Acid Metabolism (Acyl Carnitine)"
"M.57516","M.57516","cerotoylcarnitine (C26)*",100015835,57516,"LC/MS Pos Late",1649,540.4986,NA,NA,"HMDB06347",NA,35015992,355,"Lipid","Fatty Acid Metabolism (Acyl Carnitine)"
"M.57517","M.57517","ximenoylcarnitine (C26:1)*",100015836,57517,"LC/MS Pos Late",1607,538.483,NA,NA,NA,NA,NA,356,"Lipid","Fatty Acid Metabolism (Acyl Carnitine)"
"M.52944","M.52944","palmitoylcholine",100009233,52944,"LC/MS Pos Late",1482,342.3367,NA,NA,NA,"151731",133731,360,"Lipid","Fatty Acid Metabolism (Acyl Choline)"
"M.53260","M.53260","oleoylcholine",100009331,53260,"LC/MS Pos Late",1449,368.3523,NA,NA,NA,NA,NA,361,"Lipid","Fatty Acid Metabolism (Acyl Choline)"
"M.53262","M.53262","dihomo-linolenoyl-choline",100009335,53262,"LC/MS Pos Late",1424,392.3523,NA,NA,NA,NA,NA,362,"Lipid","Fatty Acid Metabolism (Acyl Choline)"
"M.57463","M.57463","linoleoylcholine*",100015760,57463,"LC/MS Pos Late",1388,366.3367,NA,NA,NA,NA,NA,363,"Lipid","Fatty Acid Metabolism (Acyl Choline)"
"M.57464","M.57464","stearoylcholine*",100015759,57464,"LC/MS Pos Late",1520,370.368,NA,NA,NA,NA,NA,364,"Lipid","Fatty Acid Metabolism (Acyl Choline)"
"M.53263","M.53263","docosahexaenoylcholine",100009333,53263,"LC/MS Pos Late",1378,414.3367,NA,NA,NA,NA,NA,365,"Lipid","Fatty Acid Metabolism (Acyl Choline)"
"M.53261","M.53261","arachidonoylcholine",100009332,53261,"LC/MS Pos Late",1390,390.3367,NA,NA,NA,NA,NA,366,"Lipid","Fatty Acid Metabolism (Acyl Choline)"
"M.53258","M.53258","eicosapentaenoylcholine",100009336,53258,"LC/MS Pos Late",1343,388.321,NA,NA,NA,NA,NA,367,"Lipid","Fatty Acid Metabolism (Acyl Choline)"
"M.53230","M.53230","3-hydroxyhexanoate",100006367,53230,"LC/MS Neg",1725,131.0714,"10191-24-9",NA,NA,"151492",133518,373,"Lipid","Fatty Acid, Monohydroxy"
"M.32457","M.32457","3-hydroxylaurate",100001112,32457,"LC/MS Neg",5175,215.1653,"53941-38-1",NA,"HMDB00387","94216",85026,377,"Lipid","Fatty Acid, Monohydroxy"
"M.21158","M.21158","3-hydroxymyristate",100000882,21158,"LC/MS Neg",5335,243.1966,"3422-31-9",NA,NA,"16064",15252,378,"Lipid","Fatty Acid, Monohydroxy"
"M.21239","M.21239","8-hydroxyoctanoate",100000956,21239,"LC/MS Neg",2300,159.1027,"764-89-6",NA,"HMDB61914","69820",63018,379,"Lipid","Fatty Acid, Monohydroxy"
"M.52947","M.52947","4-HDoHE",100008936,52947,"LC/MS Neg",5394,343.2279,"90906-40-4",NA,NA,NA,23246766,381,"Lipid","Fatty Acid, Monohydroxy"
"M.47120","M.47120","9-hydroxystearate",100005834,47120,"LC/MS Neg",5384,299.2592,"25498-28-6",NA,"HMDB61661","9570127",7844595,383,"Lipid","Fatty Acid, Monohydroxy"
"M.38309","M.38309","4-hydroxy-2-nonenal",143,38309,"LC/MS Neg",4745,155.1078,"75899-68-2;128946-65-6",NA,"HMDB04362","1693",1630,386,"Lipid","Fatty Acid, Oxidized"
"M.7746","M.7746","prostaglandin E2",487,7746,"LC/MS Neg",4573,351.2177,"363-24-6","C00584","HMDB01220","5280360",4444059,389,"Lipid","Eicosanoid"
"M.46297","M.46297","5-HEPE",100002135,46297,"LC/MS Neg",5316,317.2122,"83952-40-3",NA,"HMDB05081","6439678",4944072,390,"Lipid","Eicosanoid"
"M.46301","M.46301","9-HETE",100002168,46301,"LC/MS Neg",5341,319.2279,"79495-85-5",NA,"HMDB10222","5312978",21169678,392,"Lipid","Eicosanoid"
"M.57612","M.57612","5-HETrE",100015692,57612,"LC/MS Neg",5444,321.2435,"88053-46-7",NA,NA,"5283143",4446267,393,"Lipid","Eicosanoid"
"M.57393","M.57393","12-HHTrE",1261,57393,"LC/MS Neg",5175,279.1966,"54397-84-1","C20388","HMDB12535","5283141",4446265,395,"Lipid","Eicosanoid"
"M.48465","M.48465","5-KETE",1080,48465,"LC/MS Neg",5372,317.2122,"106154-18-1","C14732","HMDB10217","5283159",1765,396,"Lipid","Eicosanoid"
"M.32463","M.32463","arachidonoyl ethanolamide",1488,32463,"LC/MS Pos Late",1535,348.2897,"94421-68-8","C11695","HMDB04080","5281969",4445241,400,"Lipid","Endocannabinoid"
"M.52608","M.52608","linoleoyl ethanolamide",100006726,52608,"LC/MS Neg",6150,322.2752,"68171-52-8",NA,"HMDB12252","5283446",4446566,404,"Lipid","Endocannabinoid"
"M.57664","M.57664","N-oleoylserine",100015641,57664,"LC/MS Neg",5600,368.2806,NA,NA,NA,NA,21466990,405,"Lipid","Endocannabinoid"
"M.57659","M.57659","N-palmitoylserine",100015640,57659,"LC/MS Neg",5557,342.265,"58725-46-5;474943-14-1",NA,NA,"6453686",4956046,406,"Lipid","Endocannabinoid"
"M.1124","M.1124","myo-inositol",363,1124,"LC/MS Polar",3506.3,225.0616,"87-89-8","C00137","HMDB00211","892",10239179,407,"Lipid","Inositol Metabolism"
"M.37455","M.37455","glycerophosphoethanolamine",100001620,37455,"LC/MS Pos Early",659,216.0632,"33049-08-0","C01233","HMDB00114","123874",110410,412,"Lipid","Phospholipid Metabolism"
"M.52307","M.52307","glycerophosphoinositol*",100001621,52307,"LC/MS Neg",630,333.0592,"16824-65-0",NA,NA,"167572",NA,413,"Lipid","Phospholipid Metabolism"
"M.19130","M.19130","1,2-dipalmitoyl-GPC (16:0/16:0)",100000657,19130,"LC/MS Pos Late",2365,734.5694,"63-89-8",NA,"HMDB00564","452110",398235,415,"Lipid","Phosphatidylcholine (PC)"
"M.52470","M.52470","1-palmitoyl-2-palmitoleoyl-GPC (16:0/16:1)*",100008984,52470,"LC/MS Pos Late",2160,732.5538,NA,NA,"HMDB07969",NA,NA,416,"Lipid","Phosphatidylcholine (PC)"
"M.52616","M.52616","1-palmitoyl-2-stearoyl-GPC (16:0/18:0)",100008921,52616,"LC/MS Pos Late",2653,762.6007,"59403-51-9",NA,"HMDB07970",NA,24766643,417,"Lipid","Phosphatidylcholine (PC)"
"M.52461","M.52461","1-palmitoyl-2-oleoyl-GPC (16:0/18:1)",1539,52461,"LC/MS Pos Late",2358,760.5851,"26853-31-6;26853-31-6",NA,"HMDB07972","6436017",4940699,418,"Lipid","Phosphatidylcholine (PC)"
"M.42446","M.42446","1-palmitoyl-2-linoleoyl-GPC (16:0/18:2)",1537,42446,"LC/MS Pos Late",2160,758.5694,"40811-94-7",NA,"HMDB07973","5287971",4450224,419,"Lipid","Phosphatidylcholine (PC)"
"M.52462","M.52462","1-palmitoyl-2-arachidonoyl-GPC (16:0/20:4n6)",100008914,52462,"LC/MS Pos Late",2091,782.5694,"35418-58-7",NA,"HMDB07982","10747814",8923140,420,"Lipid","Phosphatidylcholine (PC)"
"M.52438","M.52438","1-stearoyl-2-oleoyl-GPC (18:0/18:1)",100008904,52438,"LC/MS Pos Late",2644,788.6164,"56421-10-4",NA,"HMDB08038",NA,24766704,421,"Lipid","Phosphatidylcholine (PC)"
"M.52452","M.52452","1-stearoyl-2-linoleoyl-GPC (18:0/18:2)*",100008980,52452,"LC/MS Pos Late",2380,786.6007,NA,NA,"HMDB08039",NA,NA,422,"Lipid","Phosphatidylcholine (PC)"
"M.42450","M.42450","1-stearoyl-2-arachidonoyl-GPC (18:0/20:4)",100001869,42450,"LC/MS Pos Late",2300,810.6007,"35418-59-8",NA,"HMDB08048","16219824",17347139,423,"Lipid","Phosphatidylcholine (PC)"
"M.52603","M.52603","1,2-dilinoleoyl-GPC (18:2/18:2)",100008903,52603,"LC/MS Pos Late",2006,782.5694,"998-06-1",NA,"HMDB08138","5288075",4450312,424,"Lipid","Phosphatidylcholine (PC)"
"M.53176","M.53176","1-linoleoyl-2-linolenoyl-GPC (18:2/18:3)*",100009343,53176,"LC/MS Pos Late",1939,780.5538,NA,NA,"HMDB08141",NA,24766802,425,"Lipid","Phosphatidylcholine (PC)"
"M.19263","M.19263","1-palmitoyl-2-oleoyl-GPE (16:0/18:1)",1526,19263,"LC/MS Pos Late",2509,718.5381,"26662-94-2",NA,"HMDB05320","5283496",4446615,426,"Lipid","Phosphatidylethanolamine (PE)"
"M.42449","M.42449","1-palmitoyl-2-linoleoyl-GPE (16:0/18:2)",100001870,42449,"LC/MS Pos Late",2275,716.5225,NA,NA,"HMDB05322","9546747",7825697,427,"Lipid","Phosphatidylethanolamine (PE)"
"M.52464","M.52464","1-palmitoyl-2-arachidonoyl-GPE (16:0/20:4)*",100008990,52464,"LC/MS Pos Late",2198,740.5225,NA,NA,"HMDB05323","9546800",7825750,428,"Lipid","Phosphatidylethanolamine (PE)"
"M.42448","M.42448","1-stearoyl-2-oleoyl-GPE (18:0/18:1)",100001856,42448,"LC/MS Pos Late",2858,746.5694,NA,NA,"HMDB08993",NA,NA,429,"Lipid","Phosphatidylethanolamine (PE)"
"M.52446","M.52446","1-stearoyl-2-linoleoyl-GPE (18:0/18:2)*",100008976,52446,"LC/MS Pos Late",2522,744.5538,NA,NA,"HMDB08994","9546749",7825699,430,"Lipid","Phosphatidylethanolamine (PE)"
"M.52447","M.52447","1-stearoyl-2-arachidonoyl-GPE (18:0/20:4)",100008977,52447,"LC/MS Pos Late",2424,768.5538,NA,NA,"HMDB09003","5289133",4451158,431,"Lipid","Phosphatidylethanolamine (PE)"
"M.52687","M.52687","1-oleoyl-2-linoleoyl-GPE (18:1/18:2)*",100009078,52687,"LC/MS Pos Late",2270,742.5381,NA,NA,"HMDB05349","9546753",7825703,432,"Lipid","Phosphatidylethanolamine (PE)"
"M.19265","M.19265","1-stearoyl-2-oleoyl-GPS (18:0/18:1)",100000639,19265,"LC/MS Pos Late",3000,790.5593,NA,NA,"HMDB10163","9547087",7826037,433,"Lipid","Phosphatidylserine (PS)"
"M.52669","M.52669","1-palmitoyl-2-oleoyl-GPI (16:0/18:1)*",100009066,52669,"LC/MS Pos Late",3140,854.5753,NA,NA,"HMDB09783",NA,24767668,434,"Lipid","Phosphatidylinositol (PI)"
"M.52450","M.52450","1-palmitoyl-2-linoleoyl-GPI (16:0/18:2)",1528,52450,"LC/MS Pos Late",2730,852.5597,NA,NA,"HMDB09784",NA,21403024,435,"Lipid","Phosphatidylinositol (PI)"
"M.52467","M.52467","1-palmitoyl-2-arachidonoyl-GPI (16:0/20:4)*",100008993,52467,"LC/MS Pos Late",2567,876.5597,NA,NA,"HMDB09789",NA,24767674,436,"Lipid","Phosphatidylinositol (PI)"
"M.52726","M.52726","1-stearoyl-2-oleoyl-GPI (18:0/18:1)*",100009181,52726,"LC/MS Pos Late",3711,882.6066,NA,NA,NA,NA,NA,437,"Lipid","Phosphatidylinositol (PI)"
"M.52468","M.52468","1-stearoyl-2-linoleoyl-GPI (18:0/18:2)",100008994,52468,"LC/MS Pos Late",3185,880.591,NA,NA,"HMDB09809",NA,24767694,438,"Lipid","Phosphatidylinositol (PI)"
"M.52449","M.52449","1-stearoyl-2-arachidonoyl-GPI (18:0/20:4)",100000616,52449,"LC/MS Pos Late",3000,904.591,"383907-33-3",NA,"HMDB09815",NA,21403055,439,"Lipid","Phosphatidylinositol (PI)"
"M.36810","M.36810","1-stearoyl-GPA (18:0)",100001670,36810,"LC/MS Neg",5829,437.2674,"325465-92-7;799268-65-8",NA,NA,"89567",80837,441,"Lipid","Lysophospholipid"
"M.52690","M.52690","1-linoleoyl-GPA (18:2)*",100009082,52690,"LC/MS Neg",5483,433.2361,NA,NA,"HMDB07856",NA,24766514,443,"Lipid","Lysophospholipid"
"M.48258","M.48258","1-oleoyl-GPC (18:1)",100001272,48258,"LC/MS Pos Late",1540,522.3554,"19420-56-5",NA,"HMDB02815","16081932",17240641,449,"Lipid","Lysophospholipid"
"M.49617","M.49617","1-lignoceroyl-GPC (24:0)",100002873,49617,"LC/MS Pos Late",1907,608.465,"325171-59-3",NA,"HMDB10405",NA,24766539,453,"Lipid","Lysophospholipid"
"M.54885","M.54885","1-linoleoyl-GPG (18:2)*",100009227,54885,"LC/MS Neg",5516,507.2728,NA,NA,NA,NA,NA,462,"Lipid","Lysophospholipid"
"M.52477","M.52477","1-(1-enyl-palmitoyl)-2-oleoyl-GPE (P-16:0/18:1)*",100009005,52477,"LC/MS Pos Late",2600,702.5432,NA,NA,"HMDB11342",NA,24769228,468,"Lipid","Plasmalogen"
"M.52677","M.52677","1-(1-enyl-palmitoyl)-2-linoleoyl-GPE (P-16:0/18:2)*",100009069,52677,"LC/MS Pos Late",2351,700.5276,NA,NA,"HMDB11343",NA,24769229,469,"Lipid","Plasmalogen"
"M.52716","M.52716","1-(1-enyl-palmitoyl)-2-palmitoyl-GPC (P-16:0/16:0)*",100009162,52716,"LC/MS Pos Late",2454,718.5745,NA,NA,"HMDB11206","11146967",9322076,470,"Lipid","Plasmalogen"
